1462826851486873,,2300066705483434813,15462876962230370447,,0,,,,,,,
1462826851486875,,2300066705483434813,15514086123391692345,,0,,,,,,,
1462826851502374,,2300066705483434813,15462876962230370447,caelum-403,1,,,,,,,
1462826851502455,,2300066705483434813,15514086123391692345,caelum-310,1,,,,,,,
1462826851785881,,5647898570721862804,14660072798890935152,16148670431741156506,4,,,,,,,
1462826851953078,,5647898570721862804,16182366278679936123,15602955387706651931,4,,,,,,,
1462826851974176,,5647898570721862804,14660072798890935154,14898056167053154783,4,,,,,,,
1462826852143176,,5647898570721862804,14660072798890935181,10751007387648689429,4,,,,,,,
1462826852243219,,5647898570721862804,14660072798890935174,3480663831405207196,4,,,,,,,
1462826852267970,,9394024260627557911,1404797746177978039,942064182724729618,4,,,,,,,
1462826852276223,,5647898570721862804,14660072798890935177,5578538654463802037,4,,,,,,,
1462826852295834,,5647898570721862804,14660072798890935178,7553729303218201120,4,,,,,,,
1462826852314425,,4314799640615371901,16775772180262218669,11795577909610116775,4,,,,,,,
1462826852443600,,5647898570721862804,14660072798890935153,17707286483351613960,4,,,,,,,
1462826852575137,,5647898570721862804,14660072798890935176,601339416012259820,4,,,,,,,
1462826852602191,,5647898570721862804,14660072798890935182,7277157775948672467,4,,,,,,,
1462826852697372,,4314799640615371901,16775772180262218662,11666615854676652007,4,,,,,,,
1462826852794788,,5647898570721862804,14660072798890935180,6454717725655763029,4,,,,,,,
1462826852903340,,5647898570721862804,14660072798890935183,9956498907507961362,4,,,,,,,
1462826852992286,,4314799640615371901,17948074771287600756,8783068781425628900,4,,,,,,,
1462826853154570,,5647898570721862804,14660072798890935155,1235217895200225471,4,,,,,,,
1462826853384892,,5647898570721862804,14660072798890935179,9289075733572733394,4,,,,,,,
1462826853604114,,9394024260627557911,1404797746177978043,1514863780550564736,4,,,,,,,
1462826853738146,,335064057784134992,13027435102035344119,,0,,,,,,,
1462826853738147,,335064057784134992,17108364799598427172,,0,,,,,,,
1462826853738148,,335064057784134992,17108364799598427227,,0,,,,,,,
